SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
254,102203378,4,2,3,4,3,4,5,4,5,5,5,5,41,27.3
255,102203379,4,2,3,4,3,3,4,AB,4,5,5,4,36,24.0
256,102203380,5,2,3,4,4,5,4,5,4,5,5,5,42,28.0
257,102203383,4,3,4,3,4,4,3,4,4,5,4,2,36,24.0
258,102203384,4,5,AB,5,4,2,4,4,5,5,4,5,41,27.3
259,102203386,5,3,3,4,3,5,4,3,4,5,5,5,40,26.7
260,102203387,5,3,AB,4,5,4,AB,4,5,AB,5,4,39,26.0
261,102203393,5,4,5,5,5,3,4,4,4,4,5,5,42,28.0
262,102203395,4,1,3,4,2,2,AB,AB,5,4,5,5,34,22.7
263,102203397,5,3,4,5,2,4,5,3,5,4,4,AB,39,26.0
264,102203400,4,4,5,4,5,4,4,4,4,5,AB,5,40,26.7
265,102203403,4,4,AB,4,3,2,3,3,5,2,5,AB,33,22.0
266,102203405,5,4,4,5,4,4,3,AB,5,4,5,4,40,26.7
267,102203408,5,2,AB,4,3,2,3,4,AB,AB,AB,AB,23,15.3
268,102203409,4,2,4,5,3,4,3,3,5,5,5,5,40,26.7
269,102203413,5,AB,5,4,3,5,4,5,5,AB,AB,5,41,27.3
270,102203414,4,2,4,4,3,4,3,5,5,5,5,4,40,26.7
271,102203415,4,5,3,4,5,5,3,2,3,4,4,4,38,25.3
272,102203416,2,2,3,4,4,1,4,4,4,5,5,5,38,25.3
273,102203419,2,3,4,3,2,3,3,3,4,4,5,4,33,22.0
274,102203420,4,2,AB,2,3,2,AB,4,4,4,5,AB,30,20.0
275,102203421,3,4,AB,4,AB,AB,4,AB,5,4,5,5,34,22.7
276,102203423,AB,2,2,5,4,5,3,3,4,5,AB,5,36,24.0
277,102203424,AB,1,5,5,4,4,4,4,5,5,5,4,41,27.3
278,102203428,5,4,4,5,4,5,4,AB,5,AB,5,AB,41,27.3
279,102203429,4,5,4,4,2,2,5,4,5,4,5,2,40,26.7
280,102203430,3,2,4,5,5,4,AB,5,5,5,5,AB,41,27.3
281,102203431,4,2,4,4,3,4,4,5,5,5,AB,2,38,25.3
282,102203436,5,1,5,3,4,4,5,4,4,2,4,AB,38,25.3
283,102203437,5,3,4,3,3,3,4,AB,5,3,5,AB,35,23.3
284,102203438,4,4,4,3,2,4,3,2,4,3,5,2,34,22.7
285,102203491,AB,2,2,4,2,4,3,3,0,2,5,2,27,18.0
286,102203718,5,2,3,4,3,4,4,4,5,5,5,5,41,27.3
287,102203789,4,4,5,4,1,4,4,5,AB,5,3,5,40,26.7
288,102203823,2,2,5,3,5,2,3,5,5,5,5,4,40,26.7
289,102203915,4,1,4,5,0,3,4,3,5,5,4,5,39,26.0
290,102203965,5,3,4,4,AB,AB,2,3,5,5,5,5,39,26.0
